#;Question;Question ID;Type of Question;User ID;Answer;Answer ID
1;I think that I would like to use this system frequently;1;Multiple Choices;average;3 ~ 5;
;;;;45;3;1
;;;;44;5;11
;;;;4;3;21
;;;;46;4;31
;;;;34;3;41
2;I found the system unnecessarily complex;2;Multiple Choices;average;2 ~ 3;
;;;;45;2;2
;;;;44;2;12
;;;;4;3;22
;;;;46;3;32
;;;;34;2;42
3;I thought the system was easy to use;3;Multiple Choices;average;1;
;;;;45;5;3
;;;;44;1;13
;;;;4;1;23
;;;;46;1;33
;;;;34;4;43
4;I think that I would need the support of a technical person to be able to use this system;4;Multiple Choices;average;3 ~ 5;
;;;;45;3;4
;;;;44;3;14
;;;;4;3;24
;;;;46;5;34
;;;;34;2;44
5;I found the various functions in this system were well integrated;5;Multiple Choices;average;3 ~ 4;
;;;;45;2;5
;;;;44;3;15
;;;;4;4;25
;;;;46;2;35
;;;;34;5;45
6;I thought there was too much inconsistency in this system;6;Multiple Choices;average;3 ~ 2;
;;;;45;3;6
;;;;44;2;16
;;;;4;3;26
;;;;46;3;36
;;;;34;1;46
7;I would imagine that most people would learn to use this system very quickly;7;Multiple Choices;average;5 ~ 4;
;;;;45;5;7
;;;;44;4;17
;;;;4;4;27
;;;;46;5;37
;;;;34;3;47
8;I found the system very cumbersome to use;8;Multiple Choices;average;1 ~ 2;
;;;;45;1;8
;;;;44;1;18
;;;;4;2;28
;;;;46;2;38
;;;;34;1;48
9;I felt very confident using the system;9;Multiple Choices;average;2;
;;;;45;3;9
;;;;44;2;19
;;;;4;1;29
;;;;46;1;39
;;;;34;3;49
10;I needed to learn a lot of things before I could get going with this system;10;Multiple Choices;average;5 ~ 3;
;;;;45;5;10
;;;;44;3;20
;;;;4;5;30
;;;;46;5;40
;;;;34;2;50
